Full name;Symbol letter;Element symbol;CAS number;Electron configuration;Atomic number;Atomic mass;van der Waals radius;Atomic radius;Covalent radius;Melting point;Boiling point;First electron affinity;First ionization energy;Electronegativity Pauling;Electronegativity Allred;Electronegativity Absolute
NA;NA;NA;NA;NA;NA;Ang;Pm;Pm;Pm;Kelvin;Kelvin;kJ/mol;kJ/mol-1;Pauling;Allred;EV
String;String;String;String;String;Integer;Float;Float;Float;Float;Float;Float;Float;Float;Float;Float;Float
Name;Symbol;ElementSymbol;CAS;Econfig;An;Am;Vwr;Ar;Cr;Mp;Bp;Ea1;Ie1;Enpauling;Enallred;Enabs
Hydrogen;H;H;1333-74-0;1s1;1;1.00794;120;78;30;14.01;20.28;72.8;1312;2.2;2.2;7.18
Helium;He;He;7440-59-7;1s2;2;4.002602;122;128;NA;0.95;4.216;0;2372.3;NA;5.5;12.3
Lithium;Li;Li;7439-93-2;2s1;3;6.941;NA;152;123;453.69;1620;59.6;513.3;0.98;0.97;3.01
Beryllium;Be;Be;7440-41-7;2s2;4;9.012182;NA;113;89;1551;3243;-18;899.4;1.57;1.47;4.9
Boron;B;B;7440-42-8;2s22p1;5;10.811;208;83;88;2573;3931;26.7;800.6;2.04;2.01;4.29
Carbon;C;C;7440-44-0;2s22p2;6;12.011;185;77;77;3820;5100;121.9;1086.2;2.55;2.5;6.27
Nitrogen;N;N;7727-37-9;2s22p3;7;14.00674;154;71;70;63.29;77.4;-7;1402.3;3.04;3.07;7.3
Oxygen;O;O;7782-44-7;2s22p4;8;15.9994;140;NA;66;54.8;90.188;141;1313.9;3.44;3.5;7.54
Fluor;F;F;7782-41-4;2s22p5;9;18.9984032;135;70.9;58;53.53;85.01;328;1681;3.98;4.1;10.41
Neon;Ne;Ne;7440-01-9;2s22p6;10;20.1797;160;NA;NA;24.48;27.1;-29;2080.6;NA;4.84;10.6
Sodium;Na;Na;7440-23-5;3s1;11;22.989768;231;154;NA;370.96;1156.1;52.9;495.8;0.93;1.01;2.85
Magnesium;Mg;Mg;7439-95-4;3s2;12;24.305;NA;160;136;922;1363;-21;737.7;1.31;1.23;3.75
Aluminium;Al;Al;7429-90-5;3s23p1;13;26.981539;205;143;125;933.52;2740;44;577.4;1.61;1.47;3.23
Silicium;Si;Si;7440-21-3;3s23p2;14;28.0855;200;117;117;1683;2628;133.6;786.5;1.9;1.74;4.77
Phosphorus;P;P;7723-14-0;3s23p3;15;30.973762;190;93;110;317.3;553;44;1011.7;2.19;2.06;5.62
Sulphur;S;S;7704-34-9;3s23p4;16;32.066;185;104;104;386;717.824;200.4;999.6;2.58;2.44;6.22
Chlorine;Cl;Cl;7782-50-5;3s23p5;17;35.4527;181;NA;99;172.17;239.18;349;1251.1;3.16;2.83;8.3
Argon;Ar;Ar;7440-37-1;3s23p6;18;39.948;191;174;NA;83.78;87.29;-35;1520.4;NA;3.2;7.7
Potassium;K;K;7440-09-7;4s1;19;39.0983;231;227;203;336.8;1047;48.4;418.8;0.82;0.91;2.42
Calcium;Ca;Ca;7440-70-2;4s2;20;40.078;NA;197;174;1112;1757;-186;589.7;1;1.04;2.2
Scandium;Sc;Sc;7440-20-2;3d14s2;21;44.95591;NA;161;144;1814;3104;18.1;631;1.36;1.2;3.34
Titanium;Ti;Ti;7440-32-6;3d24s2;22;47.867;NA;145;132;1933;3560;7.6;658;1.54;1.32;3.45
Vanadium;V;V;7440-62-2;3d34s2;23;50.9415;NA;132;NA;2160;3650;50.7;650;1.63;1.45;3.6
Chromium;Cr;Cr;7440-47-3;3d54s1;24;51.9961;NA;125;NA;2130;2945;64.3;652.7;1.66;1.56;3.72
Manganese;Mn;Mn;7439-96-5;3d54s2;25;54.93805;NA;124;117;1517;2235;0;717.4;1.55;1.6;3.72
Iron;Fe;Fe;7439-89-6;3d64s2;26;55.845;NA;124;116;1808;3023;15.7;759.3;1.83;1.64;4.06
Cobalt;Co;Co;7440-48-4;3d74s2;27;58.9332;NA;125;116;1768;3143;63.8;760;1.88;1.7;4.3
Nickel;Ni;Ni;7440-02-0;3d84s2;28;58.6934;NA;125;115;1726;3005;156;736.7;1.91;1.75;4.4
Copper;Cu;Cu;7440-50-8;3d104s1;29;63.546;NA;128;117;1356.6;2840;118.5;745.4;1.9;1.75;4.48
Zinc;Zn;Zn;7440-66-6;3d104s2;30;65.39;NA;133;125;692.73;1180;9;906.4;1.65;1.66;4.45
Gallium;Ga;Ga;7440-55-3;3d104s24p1;31;69.723;NA;122;125;302.93;2676;30;578.8;1.81;1.82;3.2
Germanium;Ge;Ge;7440-56-4;3d104s24p2;32;72.61;NA;123;122;1210.6;3103;116;762.1;2.01;2.02;4.6
Arsenic;As;As;7440-38-2;3d104s24p3;33;74.92159;200;125;121;1090;889;78;947;2.18;2.2;5.3
Selenium;Se;Se;7782-49-2;3d104s24p4;34;78.96;200;215;117;490;958.1;195;940.9;2.55;2.48;5.89
Bromine;Br;Br;7726-95-6;3d104s24p5;35;79.904;195;NA;114;265.9;331.93;324.7;1139.9;2.96;2.74;7.59
Krypton;Kr;Kr;7439-90-9;3d104s24p6;36;83.8;198;NA;189;116.6;120.85;-39;1350.7;NA;2.94;6.8
Rubidium;Rb;Rb;7440-17-7;2s12;37;85.4678;244;247.5;NA;312.2;961;46.9;403;0.82;0.89;2.34
Strontium;Sr;Sr;7440-24-6;5s2;38;87.62;NA;215;192;1042;1657;-146;549.5;0.95;0.99;2
Yttrium;Y;Y;7440-65-6;2D32;39;88.90585;NA;181;162;1795;3611;29.6;616;1.22;1.11;3.19
Zirconium;Zr;Zr;7440-67-7;4d25s2;40;91.224;NA;160;145;2125;4650;41.1;660;1.33;1.22;3.64
Niobium;Nb;Nb;7440-03-1;4d45s1;41;92.90638;NA;143;134;2741;5015;86.2;664;1.6;1.23;4
Molybdenum;Mo;Mo;7439-98-7;4d55s1;42;95.94;NA;136;129;2890;4885;72;685;2.16;1.3;3.9
Technetium;Tc;Tc;7440-26-8;4d55s2;43;98.9063;NA;136;NA;2445;5150;96;702;1.9;1.36;3.91
Rhutenium;Ru;Ru;7440-18-8;4d75s1;44;101.07;NA;134;124;2583;4173;101;711;2.2;1.42;4.5
Rhodium;Rh;Rh;7440-16-6;4d85s1;45;102.9055;NA;134;125;2239;4000;109.7;720;2.28;1.45;4.3
Palladium;Pd;Pd;7440-05-3;4d10;46;106.42;NA;138;128;1825;3413;53.7;805;2.2;1.35;4.45
Silver;Ag;Ag;7440-22-4;5s1;47;107.8682;NA;144;134;1235.08;2485;125.7;731;1.93;1.42;4.44
Cadmium;Cd;Cd;7440-43-9;4d105s2;48;112.411;NA;149;141;594.1;1038;-26;867.6;1.69;1.46;4.33
Indium;In;In;7440-74-6;4d105s25p1;49;114.818;NA;163;150;429.32;2353;30;558.3;1.78;1.49;3.1
Tin;Sn;Sn;7440-31-5;4d105s25p2;50;118.71;200;141;140;505.118;2543;116;708.6;1.96;1.72;4.3
Antimony;Sb;Sb;7440-36-0;4d105s25p3;51;121.757;220;182;141;903.89;1908;101;833.7;2.05;1.82;4.85
Tellurium;Te;Te;13494-80-9;4d105s25p4;52;127.6;220;143;137;722.7;1263;190.2;869.2;2.1;2.01;5.49
Iodine;I;I;7553-56-2;4d105s25p5;53;126.90447;215;NA;133;386.7;457.5;295.2;1008.4;2.66;2.21;6.76
Xenon;Xe;Xe;7440-63-3;4d105s25p6;54;131.29;216;218;209;161.3;166.1;-41;1170.4;2.6;2.4;5.85
Caesium;Cs;Cs;;;55;;;;;;;;;;;
Barium;Ba;Ba;7440-39-3;4d105s25p66s2;56;137.327;NA;217;198;1002;1910;-46;502.8;0.89;0.97;2.4
Lanthanum;La;La;;;57;;;;;;;;;;;
Cerium;Ce;Ce;;;58;;;;;;;;;;;
Praseodymium;Pr;Pr;;;59;;;;;;;;;;;
Neodymium;Nd;Nd;;;60;;;;;;;;;;;
Promethium145;Pm;Pm;;;61;;;;;;;;;;;
Samarium;Sm;Sm;;;62;;;;;;;;;;;
Europium;Eu;Eu;;;63;;;;;;;;;;;
Gadolinium;Gd;Gd;;;64;;;;;;;;;;;
Terbium;Tb;Tb;;;65;;;;;;;;;;;
Dysprosium;Dy;Dy;;;66;;;;;;;;;;;
Holmium;Ho;Ho;;;67;;;;;;;;;;;
Erbium;Er;Er;;;68;;;;;;;;;;;
Thulium;Tm;Tm;;;69;;;;;;;;;;;
Ytterbium;Yb;Yb;;;70;;;;;;;;;;;
Lutetium;Lu;Lu;;;71;;;;;;;;;;;
Hafnium;Hf;Hf;;;72;;;;;;;;;;;
Tantalum;Ta;Ta;;;73;;;;;;;;;;;
Tungsten;W;W;;;74;;;;;;;;;;;
Thenium;Re;Re;;;75;;;;;;;;;;;
Osmium;Os;Os;;;76;;;;;;;;;;;
Iridium;Ir;Ir;;;77;;;;;;;;;;;
Platinum;Pt;Pt;;;78;;;;;;;;;;;
Gold;Au;Au;;;79;;;;;;;;;;;
Mercury;Hg;Hg;;;80;;;;;;;;;;;
Thallium;Tl;Tl;;;81;;;;;;;;;;;
Lead;Pb;Pb;7439-92-1;4d105s25p64f145d106s26p2;82;207.2;NA;175;154;600.65;2013;35.1;715.5;2.33;1.55;3.9
Bismuth;Bi;Bi;;;83;;;;;;;;;;;
Polonium;Po;Po;;;84;;;;;;;;;;;
Astatine;At;At;;;85;;;;;;;;;;;
Radon;Rn;Rn;;;86;;;;;;;;;;;
Francium;Fr;Fr;;;87;;;;;;;;;;;
Radium;Ra;Ra;;;88;;;;;;;;;;;
Actinium;Ac;Ac;;;89;;;;;;;;;;;
Thorium;Th;Th;;;90;;;;;;;;;;;
Protactinium;Pa;Pa;;;91;;;;;;;;;;;
Uranium;U;U;;;92;;;;;;;;;;;
Neptunium;Np;Np;;;93;;;;;;;;;;;
Plutonium;Pu;Pu;;;94;;;;;;;;;;;
Americium;Am;Am;;;95;;;;;;;;;;;
Curium;Cm;Cm;;;96;;;;;;;;;;;
Berkelium;Bk;Bk;;;97;;;;;;;;;;;
Californium;Cf;Cf;;;98;;;;;;;;;;;
Einsteinium;Es;Es;;;99;;;;;;;;;;;
Fermium;Fm;Fm;;;100;;;;;;;;;;;
Mendelevium;Md;Md;;;101;;;;;;;;;;;
Nobelium;No;No;;;102;;;;;;;;;;;
Lawrencium;Lw;Lw;;;103;;;;;;;;;;;
Rutherfordium;Rf;Rf;;;104;;;;;;;;;;;
Dubnium;Db;Db;;;105;;;;;;;;;;;
Seaborgium;Sg;Sg;;;106;;;;;;;;;;;
Bohrium;Bh;Bh;;;107;;;;;;;;;;;
Hassium;Hs;Hs;;;108;;;;;;;;;;;
Meitnerium;Mt;Mt;;;109;;;;;;;;;;;
